scrape_date,brand,company,product_name,sku_id,price,final_price,retailer,channel,promo_type,original_price,discount%,promo_text,province,city,pack_size,variant,promo_start,promo_end,sales,market_share
2026-05-29,Wings,Wings Group,Sedaap Mie Instan Korean Spicy Soup Bag 77 gr x5,SKU-6D293E61,15400,15400,Mitra Distributor,Shopee,Bundling Promo,15400,0.0,Beli Banyak Lebih Murah,Jawa Barat,Bandung,Bundling,Spicy / Korean,2026-05-01,2026-05-31,10000,0.3335
2026-05-29,Wings,Wings Group,SEDAAP MIE KOREAN SPICY CHICKEN 87 GR,SKU-18F24656,3520,3520,Toko Grosir Sembako,Shopee,Regular,3520,0.0,-,DKI Jakarta,Jakarta Timur,Satuan,Spicy / Korean,2026-05-01,2026-05-31,428,0.0143
2026-05-29,Wings,Wings Group,SEDAAP MIE AYAM BAWANG ISI 5,SKU-26E80762,14880,14880,Official Store,Shopee,Bundling Promo,14880,0.0,Beli Banyak Lebih Murah,Jawa Timur,Surabaya,Bundling,Ayam Bawang,2026-05-01,2026-05-31,377,0.0126
2026-05-29,Wings,Wings Group,Sedaap Mie Instan Ayam Bawang Bag 71 gr x5,SKU-77D4ADC6,15500,15500,Toko Grosir Sembako,Shopee,Bundling Promo,15500,0.0,Beli Banyak Lebih Murah,DKI Jakarta,Jakarta Pusat,Bundling,Ayam Bawang,2026-05-01,2026-05-31,10000,0.3335
2026-05-29,Wings,Wings Group,Sedaap Mie Instan Cup Kari Spesial 81 gr Carton (12 pcs),SKU-D2C7BF5F,52100,52100,Toko Grosir Sembako,Shopee,Wholesale Promo,52100,0.0,Harga Grosir,Jawa Barat,Depok,Grosir,Kari,2026-05-01,2026-05-31,166,0.0055
2026-05-29,Wings,Wings Group,Sedaap Mie Instan Cup Kari Mercon 79 gr x3,SKU-4DBE5FF3,13700,13700,Toko Grosir Sembako,Shopee,Bundling Promo,13700,0.0,Beli Banyak Lebih Murah,Jawa Barat,Bekasi,Bundling,Kari,2026-05-01,2026-05-31,10000,0.3335
2026-05-29,Wings,Wings Group,Sedaap Mie Instan Singapore Spicy Laksa 83g x5,SKU-646EDD25,15500,15500,Toko Kelontong Digital,Shopee,Bundling Promo,15500,0.0,Beli Banyak Lebih Murah,Jawa Barat,Bekasi,Bundling,Laksa,2026-05-01,2026-05-31,10000,0.3335
2026-05-29,Wings,Wings Group,SEDAAP Mie Korean Spicy 5pcs x 87gr,SKU-ADA7E50B,23000,23000,Supermarket Online,Shopee,Bundling Promo,23000,0.0,Beli Banyak Lebih Murah,Jawa Barat,Depok,Bundling,Spicy / Korean,2026-05-01,2026-05-31,164,0.0055
2026-05-29,Wings,Wings Group,Promo 12 Pcs Mie Ramen Yes Sedaap Varian Kuah/Goreng,SKU-23F711C9,35000,35000,Toko Grosir Sembako,Shopee,Bundling Promo,35000,0.0,Beli Banyak Lebih Murah,DKI Jakarta,Jakarta Timur,Bundling,Goreng Spesial,2026-05-01,2026-05-31,35,0.0012
2026-05-29,Wings,Wings Group,"Mie Instan Sedaap Soto 5pcs - Kenyal, Gurih, Praktis",SKU-ECB4BC14,13500,13500,Retail Express,Shopee,Bundling Promo,13500,0.0,Beli Banyak Lebih Murah,DKI Jakarta,Jakarta Pusat,Bundling,Soto,2026-05-01,2026-05-31,3,0.0001
2026-05-29,Wings,Wings Group,Mie Sedaap Selection Mie Instan Korean Spicy Chicken 5 x 87 gr,SKU-B31F45B0,16300,16300,Toko Kelontong Digital,Shopee,Bundling Promo,16300,0.0,Beli Banyak Lebih Murah,DKI Jakarta,Jakarta Barat,Bundling,Spicy / Korean,2026-05-01,2026-05-31,4000,0.1334
2026-05-29,Wings,Wings Group,Sedaap Mie Instant Goreng/Kuah Varian Rasa Lengkap,SKU-7C0555B2,3900,3900,Official Store,Shopee,Regular,3900,0.0,-,Banten,Tangerang,Satuan,Goreng Spesial,2026-05-01,2026-05-31,10000,0.3335
2026-05-29,Wings,Wings Group,Mie Sedaap Goreng 90gr isi 5 Triple Pack,SKU-934E0754,45400,45400,Official Store,Shopee,Bundling Promo,45400,0.0,Beli Banyak Lebih Murah,Jawa Barat,Bandung,Bundling,Goreng Spesial,2026-05-01,2026-05-31,10000,0.3335
2026-05-29,Wings,Wings Group,Sedaap Mie Instan Singapore Spicy Laksa Bag 83 gr isi 40 (Kardus),SKU-0E41E883,120700,120700,Supermarket Online,Shopee,Wholesale Promo,120700,0.0,Harga Grosir,Jawa Barat,Depok,Grosir,Laksa,2026-05-01,2026-05-31,10000,0.3335
2026-05-29,Wings,Wings Group,Sedaap Mie Instan Singapore Spicy Laksa Bag 83 gr Carton (40 pcs),SKU-06251CB1,120700,120700,Toko Grosir Sembako,Shopee,Wholesale Promo,120700,0.0,Harga Grosir,Jawa Timur,Surabaya,Grosir,Laksa,2026-05-01,2026-05-31,19,0.0006
2026-05-29,Wings,Wings Group,Sedaap Mie Instan Goreng Isi 5 Bag 90 gr x3,SKU-F745F7C1,45400,45400,Toko Kelontong Digital,Shopee,Bundling Promo,45400,0.0,Beli Banyak Lebih Murah,DKI Jakarta,Jakarta Pusat,Bundling,Goreng Spesial,2026-05-01,2026-05-31,10000,0.3335
2026-05-29,Wings,Wings Group,Sedaap Mie Instan Ayam Spesial 69 gr Carton (40 pcs),SKU-70B962ED,120900,120900,Supermarket Online,Shopee,Wholesale Promo,120900,0.0,Harga Grosir,Sumatera Utara,Medan,Grosir,Lainnya / Mix,2026-05-01,2026-05-31,47,0.0016
2026-05-29,Wings,Wings Group,Mie Sedaap Mi Goreng Mie Instan 5 x 90 gr (4 pack),SKU-2C2640BD,60300,60300,Toko Grosir Sembako,Shopee,Bundling Promo,60300,0.0,Beli Banyak Lebih Murah,DKI Jakarta,Jakarta Barat,Bundling,Goreng Spesial,2026-05-01,2026-05-31,10000,0.3335
2026-05-29,Wings,Wings Group,Sedaap Mie Instan Goreng Ala Chef Bag 93 gr x5,SKU-1D107E90,16300,16300,Toko Kelontong Digital,Shopee,Bundling Promo,16300,0.0,Beli Banyak Lebih Murah,Jawa Tengah,Semarang,Bundling,Goreng Spesial,2026-05-01,2026-05-31,10000,0.3335
2026-05-29,Wings,Wings Group,MIE SEDAAP Rasa Soto Pack Isi 5,SKU-44AA6799,21200,21200,Toko Grosir Sembako,Shopee,Bundling Promo,21200,0.0,Beli Banyak Lebih Murah,Jawa Barat,Bandung,Bundling,Soto,2026-05-01,2026-05-31,235,0.0078
2026-05-29,Wings,Wings Group,Sedaap Mie Instan Cup Korean Spicy Chicken 81 gr Carton (12 pcs),SKU-1A28F572,55100,55100,Retail Express,Shopee,Wholesale Promo,55100,0.0,Harga Grosir,Jawa Tengah,Surakarta,Grosir,Spicy / Korean,2026-05-01,2026-05-31,133,0.0044
2026-05-29,Wings,Wings Group,MIE SEDAAP Cheese Buldak 5 Pcs x 89 Gr,SKU-04537206,23000,23000,Official Store,Shopee,Bundling Promo,23000,0.0,Beli Banyak Lebih Murah,DKI Jakarta,Jakarta Timur,Bundling,Spicy / Korean,2026-05-01,2026-05-31,45,0.0015
2026-05-29,Wings,Wings Group,Sedaap Mie Kuah Instant,SKU-052A4E59,4500,4500,Retail Express,Shopee,Regular,4500,0.0,-,Jawa Timur,Sidoarjo,Satuan,Lainnya / Mix,2026-05-01,2026-05-31,1000,0.0333
2026-05-29,Wings,Wings Group,Sedaap Mie Instan Ayam Bawang Isi 5 Bag 71 gr,SKU-C332C5CD,14589,14589,Mitra Distributor,Shopee,Bundling Promo,14589,0.0,Beli Banyak Lebih Murah,Jawa Timur,Surabaya,Bundling,Ayam Bawang,2026-05-01,2026-05-31,7,0.0002
2026-05-29,Wings,Wings Group,Sedaap Mie Instan Singapore Spicy Laksa Bag 83 gr isi 40 (Kardus),SKU-6C807E71,128700,128700,Retail Express,Shopee,Wholesale Promo,128700,0.0,Harga Grosir,DKI Jakarta,Jakarta Barat,Grosir,Laksa,2026-05-01,2026-05-31,0,0.0
2026-05-29,Wings,Wings Group,mie sedaap cup goreng 1 dus isi 12 cup,SKU-963A7EDB,59900,59900,Toko Grosir Sembako,Shopee,Wholesale Promo,59900,0.0,Harga Grosir,Banten,Tangerang Selatan,Grosir,Goreng Spesial,2026-05-01,2026-05-31,32,0.0011
2026-05-29,Wings,Wings Group,SEDAAP MIE SINGAPORE SPICY LAKSA 83 GR,SKU-6067DCC2,3410,3410,Toko Grosir Sembako,Shopee,Regular,3410,0.0,-,Jawa Barat,Depok,Satuan,Laksa,2026-05-01,2026-05-31,682,0.0227
2026-05-29,Wings,Wings Group,(DUS) MIE SEDAAP MIE INSTAN ISI 40 N1856,SKU-9CD1BB0C,163020,163020,Retail Express,Shopee,Wholesale Promo,163020,0.0,Harga Grosir,Banten,Tangerang Selatan,Grosir,Lainnya / Mix,2026-05-01,2026-05-31,3,0.0001
2026-05-29,Wings,Wings Group,Sedaap Mie Instan Cup Soto 81 gr x3,SKU-A392B504,13700,13700,Official Store,Shopee,Bundling Promo,13700,0.0,Beli Banyak Lebih Murah,Jawa Timur,Malang,Bundling,Soto,2026-05-01,2026-05-31,10000,0.3335
2026-05-29,Wings,Wings Group,Mie Sedaap Goreng 90gr x 40 (1 box),SKU-94DD5577,128200,128200,Official Store,Shopee,Wholesale Promo,128200,0.0,Harga Grosir,Jawa Tengah,Magelang,Grosir,Goreng Spesial,2026-05-01,2026-05-31,2000,0.0667
2026-05-29,Wings,Wings Group,Mie Sedaap Mie Instan Rasa Soto 3 x 375 gr,SKU-A1F5A020,43200,43200,Retail Express,Shopee,Bundling Promo,43200,0.0,Beli Banyak Lebih Murah,Jawa Timur,Sidoarjo,Bundling,Soto,2026-05-01,2026-05-31,6000,0.2001
2026-05-29,Wings,Wings Group,Sedaap Mie Instan Cup Ayam Nampool 75 gr Carton (12 pcs),SKU-BE16B1E8,52100,52100,Toko Grosir Sembako,Shopee,Wholesale Promo,52100,0.0,Harga Grosir,Jawa Timur,Sidoarjo,Grosir,Lainnya / Mix,2026-05-01,2026-05-31,79,0.0026
2026-05-29,Wings,Wings Group,1 DUS Mie Sedaap Cup All Varian Rasa Isi 12 pcs,SKU-95F1F98A,61749,61749,Toko Kelontong Digital,Shopee,Wholesale Promo,61749,0.0,Harga Grosir,Jawa Timur,Sidoarjo,Grosir,Lainnya / Mix,2026-05-01,2026-05-31,5000,0.1667
2026-05-29,Wings,Wings Group,SEDAAP MIE KARI SPECIAL,SKU-E8FD4019,3360,3360,Toko Kelontong Digital,Shopee,Regular,3360,0.0,-,Jawa Barat,Bekasi,Satuan,Kari,2026-05-01,2026-05-31,182,0.0061
2026-05-29,Wings,Wings Group,Sedaap Mie Instan Ayam Spesial 69 gr x5,SKU-EEC95182,15900,15900,Toko Kelontong Digital,Shopee,Bundling Promo,15900,0.0,Beli Banyak Lebih Murah,DKI Jakarta,Jakarta Pusat,Bundling,Lainnya / Mix,2026-05-01,2026-05-31,10000,0.3335
2026-05-29,Wings,Wings Group,Sedaap Mie Instan Cup Baso Bleduk 77 gr Carton (12 pcs),SKU-2EC8239F,52100,52100,Retail Express,Shopee,Wholesale Promo,52100,0.0,Harga Grosir,DKI Jakarta,Jakarta Pusat,Grosir,Lainnya / Mix,2026-05-01,2026-05-31,316,0.0105
2026-05-29,Wings,Wings Group,SEDAAP MIE KUAH AYAM JERIT 77GR,SKU-4A530136,3120,3120,Toko Grosir Sembako,Shopee,Regular,3120,0.0,-,DKI Jakarta,Jakarta Utara,Satuan,Lainnya / Mix,2026-05-01,2026-05-31,219,0.0073
2026-05-29,Wings,Wings Group,Sedaap Mie Goreng 90 Gr,SKU-8F6DCC2F,3520,3520,Toko Grosir Sembako,Shopee,Regular,3520,0.0,-,Sumatera Utara,Medan,Satuan,Goreng Spesial,2026-05-01,2026-05-31,369,0.0123
2026-05-29,Wings,Wings Group,MIE SEDAAP GORENG ISI 5 BKS N1853,SKU-85E3D021,25047,25047,Mitra Distributor,Shopee,Bundling Promo,25047,0.0,Beli Banyak Lebih Murah,Jawa Tengah,Magelang,Bundling,Goreng Spesial,2026-05-01,2026-05-31,5,0.0002
2026-05-29,Wings,Wings Group,SEDAAP MIE CURRY WHITE 81 GR,SKU-523E6036,3630,3630,Retail Express,Shopee,Regular,3630,0.0,-,DKI Jakarta,Jakarta Utara,Satuan,Kari,2026-05-01,2026-05-31,376,0.0125
2026-05-29,Wings,Wings Group,Sedaap Mie Instan Cup Soto 81 gr x12,SKU-1DB4778F,52100,52100,Toko Kelontong Digital,Shopee,Bundling Promo,52100,0.0,Beli Banyak Lebih Murah,DKI Jakarta,Jakarta Barat,Bundling,Soto,2026-05-01,2026-05-31,10000,0.3335
2026-05-29,Wings,Wings Group,SEDAAP Mie Instan Soto Bag 75GR Box isi 40 Pcs,SKU-E7747029,120700,120700,Toko Kelontong Digital,Shopee,Wholesale Promo,120700,0.0,Harga Grosir,Jawa Barat,Bekasi,Grosir,Soto,2026-05-01,2026-05-31,2000,0.0667
2026-05-29,Wings,Wings Group,Mie Instant Mie Sedaap Mie Goreng,SKU-61775F86,4900,4900,Toko Grosir Sembako,Shopee,Regular,4900,0.0,-,DKI Jakarta,Jakarta Pusat,Satuan,Goreng Spesial,2026-05-01,2026-05-31,3,0.0001
2026-05-29,Wings,Wings Group,Mie Sedaap Goreng Korean Series,SKU-8CEFA8C3,18100,18100,Toko Grosir Sembako,Shopee,Regular,18100,0.0,-,Sumatera Utara,Medan,Satuan,Spicy / Korean,2026-05-01,2026-05-31,1000,0.0333
2026-05-29,Wings,Wings Group,Sedaap Mie Instan Kari Ayam Bag 72 gr x5,SKU-453798FE,15400,15400,Mitra Distributor,Shopee,Bundling Promo,15400,0.0,Beli Banyak Lebih Murah,DKI Jakarta,Jakarta Barat,Bundling,Kari,2026-05-01,2026-05-31,10000,0.3335
2026-05-29,Wings,Wings Group,Mie Sedaap Cup All Varian - Mi Sedap,SKU-C9A808B5,7800,7800,Supermarket Online,Shopee,Regular,7800,0.0,-,Banten,Tangerang Selatan,Satuan,Lainnya / Mix,2026-05-01,2026-05-31,4,0.0001
2026-05-29,Wings,Wings Group,Sedaap Mie Instan Goreng Ala Chef Bag 93 gr x40,SKU-5E0A3CD6,128300,128300,Mitra Distributor,Shopee,Wholesale Promo,128300,0.0,Harga Grosir,DKI Jakarta,Jakarta Barat,Grosir,Goreng Spesial,2026-05-01,2026-05-31,9000,0.3001
2026-05-29,Wings,Wings Group,Sedaap Mie Instan Ayam Jerit 77 gr Carton (40 pcs),SKU-B50643F7,129600,129600,Retail Express,Shopee,Wholesale Promo,129600,0.0,Harga Grosir,Banten,Tangerang,Grosir,Lainnya / Mix,2026-05-01,2026-05-31,84,0.0028
2026-05-29,Wings,Wings Group,Mie Sedaap Mi Instan Ayam Bakar Limau 5 x 89 gr,SKU-47D85307,16300,16300,Mitra Distributor,Shopee,Bundling Promo,16300,0.0,Beli Banyak Lebih Murah,DKI Jakarta,Jakarta Selatan,Bundling,Lainnya / Mix,2026-05-01,2026-05-31,5000,0.1667
2026-05-29,Wings,Wings Group,Sedaap Mie Instan Goreng Bag 90 gr Box isi 40,SKU-15DA540C,128200,128200,Toko Kelontong Digital,Shopee,Wholesale Promo,128200,0.0,Harga Grosir,Jawa Tengah,Surakarta,Grosir,Goreng Spesial,2026-05-01,2026-05-31,10000,0.3335
2026-05-29,Wings,Wings Group,Mie Sedaap Soto 5 x 75 gr + Mie Sedaap Goreng 5 x 90 gr,SKU-B9E33035,29700,29700,Toko Grosir Sembako,Shopee,Bundling Promo,29700,0.0,Beli Banyak Lebih Murah,DKI Jakarta,Jakarta Barat,Bundling,Soto,2026-05-01,2026-05-31,10000,0.3335
2026-05-29,Wings,Wings Group,Sedaap Mie Instan Cup Singapore Spicy Laksa 86 gr Carton (12 pcs),SKU-C81079A6,52100,52100,Retail Express,Shopee,Wholesale Promo,52100,0.0,Harga Grosir,DKI Jakarta,Jakarta Utara,Grosir,Laksa,2026-05-01,2026-05-31,289,0.0096
2026-05-29,Wings,Wings Group,Sedaap Mie Instan Cup Singapore Spicy Laksa 86 gr x3,SKU-05AA3294,13700,13700,Toko Kelontong Digital,Shopee,Bundling Promo,13700,0.0,Beli Banyak Lebih Murah,Jawa Barat,Bekasi,Bundling,Laksa,2026-05-01,2026-05-31,10000,0.3335
2026-05-29,Wings,Wings Group,Sedaap Mie Instan Goreng Isi 5 Bag 90 gr Carton (8 pcs),SKU-EBA1289B,118000,118000,Mitra Distributor,Shopee,Wholesale Promo,118000,0.0,Harga Grosir,Jawa Timur,Surabaya,Grosir,Goreng Spesial,2026-05-01,2026-05-31,10000,0.3335
2026-05-29,Wings,Wings Group,Sedaap Mie Instan Bakso Spesial Bag 77 gr x5,SKU-BF7D811C,15500,15500,Retail Express,Shopee,Bundling Promo,15500,0.0,Beli Banyak Lebih Murah,Jawa Tengah,Magelang,Bundling,Lainnya / Mix,2026-05-01,2026-05-31,10000,0.3335
2026-05-29,Wings,Wings Group,Sedaap Mie Instan Goreng Salero Padang Bag 86 gr x3,SKU-4B33E241,11000,11000,Toko Grosir Sembako,Shopee,Bundling Promo,11000,0.0,Beli Banyak Lebih Murah,DKI Jakarta,Jakarta Utara,Bundling,Goreng Spesial,2026-05-01,2026-05-31,7000,0.2334
2026-05-29,Wings,Wings Group,Sedaap Mie Instan Soto Isi 5 Bag 75 gr x3,SKU-7C34235E,43200,43200,Toko Grosir Sembako,Shopee,Bundling Promo,43200,0.0,Beli Banyak Lebih Murah,DKI Jakarta,Jakarta Utara,Bundling,Soto,2026-05-01,2026-05-31,10000,0.3335
2026-05-29,Wings,Wings Group,SEDAAP MIE INSTANT 1 DUS ISI 40 ED DES 2026,SKU-77928106,138996,138996,Supermarket Online,Shopee,Wholesale Promo,138996,0.0,Harga Grosir,Jawa Barat,Bogor,Grosir,Lainnya / Mix,2026-05-01,2026-05-31,10000,0.3335
2026-05-29,Wings,Wings Group,Sedaap Mie Instan Goreng Bag 90 gr x40,SKU-22145A8D,128200,128200,Mitra Distributor,Shopee,Wholesale Promo,128200,0.0,Harga Grosir,DKI Jakarta,Jakarta Timur,Grosir,Goreng Spesial,2026-05-01,2026-05-31,10000,0.3335
2026-05-29,Wings,Wings Group,Sedaap Mie Instan Goreng Ayam Krispi Bag 88 gr Carton (40 pcs),SKU-CA6294CB,136100,136100,Official Store,Shopee,Wholesale Promo,136100,0.0,Harga Grosir,DKI Jakarta,Jakarta Utara,Grosir,Goreng Spesial,2026-05-01,2026-05-31,16,0.0005
2026-05-29,Wings,Wings Group,Sedaap Mie Goreng Intan Salero Padang 86 gr x 2,SKU-023B214B,7500,7500,Retail Express,Shopee,Regular,7500,0.0,-,Jawa Barat,Bandung,Satuan,Goreng Spesial,2026-05-01,2026-05-31,2000,0.0667
2026-05-29,Wings,Wings Group,Sedaap Mie Instan Cup Korean Spicy Chicken 81 gr x12,SKU-21667714,55100,55100,Toko Grosir Sembako,Shopee,Bundling Promo,55100,0.0,Beli Banyak Lebih Murah,DKI Jakarta,Jakarta Pusat,Bundling,Spicy / Korean,2026-05-01,2026-05-31,7000,0.2334
2026-05-29,Wings,Wings Group,"Mie Instan Sedaap Goreng 5 Pcs - Praktis, Lezat, Higienis",SKU-A48FB629,17580,17580,Mitra Distributor,Shopee,Bundling Promo,17580,0.0,Beli Banyak Lebih Murah,Jawa Timur,Surabaya,Bundling,Goreng Spesial,2026-05-01,2026-05-31,21,0.0007
2026-05-29,Wings,Wings Group,Sedaap Mie Instan Goreng Ayam Krispi Bag 88 gr x5,SKU-84178029,16300,16300,Retail Express,Shopee,Bundling Promo,16300,0.0,Beli Banyak Lebih Murah,Banten,Tangerang,Bundling,Goreng Spesial,2026-05-01,2026-05-31,10000,0.3335
2026-05-29,Wings,Wings Group,SEDAAP MI GORENG ALA CHEF DEVINA 93 GR,SKU-D7C9B362,3520,3520,Mitra Distributor,Shopee,Regular,3520,0.0,-,Jawa Timur,Surabaya,Satuan,Goreng Spesial,2026-05-01,2026-05-31,42,0.0014
2026-05-29,Wings,Wings Group,Sedaap Mie Instan Cup Bakso Spesial 77 gr x12,SKU-699E830B,52100,52100,Retail Express,Shopee,Bundling Promo,52100,0.0,Beli Banyak Lebih Murah,DKI Jakarta,Jakarta Barat,Bundling,Lainnya / Mix,2026-05-01,2026-05-31,10000,0.3335
2026-05-29,Wings,Wings Group,Sedaap Mie Instan Cup Baso Bleduk 77 gr x12,SKU-02F7EAD6,52100,52100,Official Store,Shopee,Bundling Promo,52100,0.0,Beli Banyak Lebih Murah,DKI Jakarta,Jakarta Selatan,Bundling,Lainnya / Mix,2026-05-01,2026-05-31,10000,0.3335
2026-05-29,Wings,Wings Group,(BHGAA) MIE SEDAAP GORENG limau DAN KUAH ayam bawang spicy kari soto singapore korean 85GR,SKU-1804E5E3,3478,3478,Toko Grosir Sembako,Shopee,Regular,3478,0.0,-,DKI Jakarta,Jakarta Barat,Satuan,Soto,2026-05-01,2026-05-31,3000,0.1
2026-05-29,Wings,Wings Group,Mie Sedaap Korean Cheese Buldak 86 gr isi 40pcs,SKU-FE78B93B,128400,128400,Toko Grosir Sembako,Shopee,Wholesale Promo,128400,0.0,Harga Grosir,DKI Jakarta,Jakarta Timur,Grosir,Spicy / Korean,2026-05-01,2026-05-31,403,0.0134
